# schiff.py generated official result file
Name,date played, games played, my wins, my losses, my bads, your errors, your unexpected, my win ratio
2206020, 2024-06-10T20:41:29.776315, 1, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-10T20:41:36.361561, 2, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-10T20:57:17.963379, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-10T22:57:55.200198, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-10T23:46:04.000140, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T00:44:42.973634, 2, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T00:47:49.546685, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:00:00.581252, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:00:37.671256, 2, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:02:49.685724, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:16:43.250328, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:17:16.900277, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:27:51.800340, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:32:37.837437, 3, 1, 1, 0, 0, 0, 0.333333
2206020, 2024-06-11T01:37:35.201949, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:38:58.520713, 2, 1, 0, 0, 0, 0, 0.500000
2206020, 2024-06-11T01:44:03.830370, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:47:03.275841, 2, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:48:30.293062, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:48:38.627923, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:49:14.608630, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:51:21.502580, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:51:57.581713, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:52:21.849160, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:56:42.976524, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:56:51.291784, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T01:59:43.387905, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T02:01:18.631959, 2, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T02:01:59.943104, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T02:03:02.589418, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T02:08:24.396527, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T02:09:26.129146, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T02:11:59.301114, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T02:12:49.323861, 4, 0, 3, 0, 0, 0, 0.000000
2206020, 2024-06-11T02:13:20.595661, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T02:14:47.529202, 4, 0, 2, 0, 0, 1, 0.000000
2206020, 2024-06-11T08:52:57.020156, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T08:55:47.297771, 7, 1, 5, 0, 0, 0, 0.142857
2206020, 2024-06-11T08:56:30.670684, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T08:57:27.369391, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:05:58.703046, 4, 0, 4, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:06:45.407921, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:07:22.143629, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:17:05.194262, 3, 1, 2, 0, 0, 0, 0.333333
2206020, 2024-06-11T09:17:46.560676, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:23:35.252907, 3, 1, 1, 0, 0, 0, 0.333333
2206020, 2024-06-11T09:24:47.933584, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:27:45.836045, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:29:20.412956, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:33:21.692935, 4, 0, 3, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:36:25.773559, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:37:06.865643, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:38:42.950485, 2, 1, 0, 0, 0, 0, 0.500000
2206020, 2024-06-11T09:48:39.094413, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:49:27.910646, 3, 0, 2, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:49:35.475545, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:51:25.648070, 2, 0, 0, 0, 0, 1, 0.000000
2206020, 2024-06-11T09:51:34.394573, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:51:39.211678, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T09:53:26.686366, 5, 0, 0, 0, 0, 4, 0.000000
2206020, 2024-06-11T09:57:56.507885, 3, 0, 3, 0, 0, 0, 0.000000
2206020, 2024-06-11T10:01:43.814604, 6, 1, 3, 0, 0, 1, 0.166667
2206020, 2024-06-11T10:11:58.609569, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T10:13:48.417131, 2, 0, 1, 0, 0, 0, 0.000000
2206020, 2024-06-11T10:15:28.537695, 2, 1, 0, 0, 0, 0, 0.500000
2206020, 2024-06-11T10:26:28.621529, 4, 0, 3, 0, 0, 0, 0.000000
2206020, 2024-06-11T10:28:38.714253, 2, 0, 1, 0, 0, 0, 0.000000
